pet ID,Player,Team
75559,17764,FRENEMIES
42192,xyz_6969,FRENEMIES
15884,FookinNoWan,FRENEMIES
15633,taylorr,FRENEMIES
24972,Dro,FRENEMIES
18594,Froomy,FRENEMIES
31922,Dirt&Soul,FRENEMIES
49436,Mr.Nobody,FRENEMIES
25192,raj_081,FRENEMIES
64304,Pask,FRENEMIES
25652,tofu167,FRENEMIES
38062,Jakey,FRENEMIES
7760,cryptomozart,FRENEMIES
42316,David Marr,FRENEMIES
55958,Rayzo973,FRENEMIES
22409,rid,$FP x Coinbase wen?
67495,bludmoneyy,$FP x Coinbase wen?
59170,mike.sylphdapps.eth,$FP x Coinbase wen?
14616,Choyna,$FP x Coinbase wen?
24158,KEEZLE,$FP x Coinbase wen?
259,maxfromtheblock,$FP x Coinbase wen?
48523,KoreanAppalachian,$FP x Coinbase wen?
21735,Lavel,$FP x Coinbase wen?
15510,Cincinnatus,$FP x Coinbase wen?
0,<3,$FP x Coinbase wen?
15953,What do you mean?,$FP x Coinbase wen?
28651,Mattmania,$FP x Coinbase wen?
11966,SuperPleb,$FP x Coinbase wen?
22676,gohbi,$FP x Coinbase wen?
7423,broncinbuck, Coinbase wen?
8151,tinoelduderino,FRENEMIES
