ID,Name,Team,Net Points
33566,bludmoneyy,$FP x Coinbase wen?,17183.0
19121,Crypto.Doro,$FP x Coinbase wen?,5812.0
42316,David Marr,$FP x Coinbase wen?,6983.0
63536,His Dudeness,$FP x Coinbase wen?,15652.0
40498,jahke,$FP x Coinbase wen?,14255.0
30494,Lapsus,$FP x Coinbase wen?,15127.0
60717,OddlyAugmented,$FP x Coinbase wen?,14999.0
5175,Relicz,$FP x Coinbase wen?,1023.0
41737,Saltimbanco,$FP x Coinbase wen?,-3160.0
60427,Semente Cripto,$FP x Coinbase wen?,-698.0
8761,Seth Roller,$FP x Coinbase wen?,235.0
19346,Shugs,$FP x Coinbase wen?,-3899.0
14992,taylorr,$FP x Coinbase wen?,-5040.0
25652,tofu167,$FP x Coinbase wen?,6614.0
64875,17764,FRENEMIES,-1172.0
8070,44huntereth,FRENEMIES,0.0
7647,abnormality,FRENEMIES,0.0
15491,Bcat,FRENEMIES,-58.0
7573,brocninbuck,FRENEMIES,2518.0
41681,Celinho,FRENEMIES,103.0
14616,Choyna,FRENEMIES,3380.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,5312.0
7760,cryptomozart,FRENEMIES,12498.0
31922,Dirt&Soul,FRENEMIES,1129.0
67481,Ducktaari,FRENEMIES,-350.0
4835,Eben,FRENEMIES,-1856.0
66402,EINSTEIN,FRENEMIES,1079.0
18594,Froomy,FRENEMIES,5762.0
67244,gloGG,FRENEMIES,2550.0
65967,i420spit710fire,FRENEMIES,-2.0
26084,jguest,FRENEMIES,2592.0
41756,KidQuick,FRENEMIES,-192.0
48523,KoreanAppalachian,FRENEMIES,-2897.0
21735,Lavel,FRENEMIES,4961.0
13689,Lite_God,FRENEMIES,0.0
15161,LuckyShot27,FRENEMIES,7777.0
61087,marcuswithu,FRENEMIES,-961.0
20211,maxfromtheblock,FRENEMIES,5693.0
64470,mikey92557,FRENEMIES,276.0
67683,MindOverMana,FRENEMIES,-24.0
49436,Mr.Nobody,FRENEMIES,5169.0
25989,Mun1a,FRENEMIES,1451.0
35268,Nikza,FRENEMIES,-1887.0
7852,noobcoin,FRENEMIES,0.0
55958,Rayzo973,FRENEMIES,3760.0
30135,Sargent.eth,FRENEMIES,9526.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,7805.0
62963,SmokinToken,FRENEMIES,-1563.0
64875,Tugz,FRENEMIES,-1172.0
11169,uk3,FRENEMIES,-8242.0
15953,What do you mean?,FRENEMIES,2952.0
42192,xyz_6969,FRENEMIES,766.0
33355,Zaampaarstin,FRENEMIES,1400.0
