ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,29653.0
19121,Crypto.Doro,$FP x Coinbase wen?,5468.0
42316,David Marr,$FP x Coinbase wen?,51483.0
63536,His Dudeness,$FP x Coinbase wen?,26699.0
40498,jahke,$FP x Coinbase wen?,22380.0
30494,Lapsus,$FP x Coinbase wen?,70233.0
60717,OddlyAugmented,$FP x Coinbase wen?,32993.0
5175,Relicz,$FP x Coinbase wen?,12705.0
41737,Saltimbanco,$FP x Coinbase wen?,1336.0
60427,Semente Cripto,$FP x Coinbase wen?,0.0
8761,Seth Roller,$FP x Coinbase wen?,1613.0
19346,Shugs,$FP x Coinbase wen?,2448.0
14992,taylorr,$FP x Coinbase wen?,8946.0
25652,tofu167,$FP x Coinbase wen?,23996.0
64875,17764,FRENEMIES,3934.0
8070,44huntereth,FRENEMIES,1142.0
7647,abnormality,FRENEMIES,4436.0
15491,Bcat,FRENEMIES,6354.0
7573,brocninbuck,FRENEMIES,2970.0
41681,Celinho,FRENEMIES,187.0
14616,Choyna,FRENEMIES,5712.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,5034.0
7760,cryptomozart,FRENEMIES,11481.0
31922,Dirt&Soul,FRENEMIES,614.0
67481,Ducktaari,FRENEMIES,1736.0
4835,Eben,FRENEMIES,3628.0
66402,EINSTEIN,FRENEMIES,2018.0
18594,Froomy,FRENEMIES,82438.0
67244,gloGG,FRENEMIES,1434.0
65967,i420spit710fire,FRENEMIES,25.0
26084,jguest,FRENEMIES,7626.0
41756,KidQuick,FRENEMIES,11984.0
48523,KoreanAppalachian,FRENEMIES,3020.0
21735,Lavel,FRENEMIES,21220.0
13689,Lite_God,FRENEMIES,0.0
15161,LuckyShot27,FRENEMIES,4188.0
61087,marcuswithu,FRENEMIES,182.0
20211,maxfromtheblock,FRENEMIES,6061.0
64470,mikey92557,FRENEMIES,1758.0
67683,MindOverMana,FRENEMIES,0.0
49436,Mr.Nobody,FRENEMIES,21613.0
25989,Mun1a,FRENEMIES,0.0
35268,Nikza,FRENEMIES,469.0
7852,noobcoin,FRENEMIES,327.0
55958,Rayzo973,FRENEMIES,8744.0
30135,Sargent.eth,FRENEMIES,2853.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,20993.0
62963,SmokinToken,FRENEMIES,3075.0
64875,Tugz,FRENEMIES,3934.0
11169,uk3,FRENEMIES,8905.0
15953,What do you mean?,FRENEMIES,8772.0
42192,xyz_6969,FRENEMIES,2046.0
33355,Zaampaarstin,FRENEMIES,1909.0
